incident_num,defendant_id,arraignment_date,charge,num_charges,felony,expungable,any_bail,bail_amount,bail_types,num_conditions,did_not_appear,prior_appearences,gender,race,judge_id,arraignment_data
18BU028260,Defendant364,3/12/2019,Bad Checks,2,0,NA,0,0,No Bail,1,1,0,Female,White,Judge12,TRUE
19BU005003,Defendant1006,3/13/2019,Assault With Bodily Fluids (Misdemeanor),2,0,1,0,0,No Bail,3,0,2,Female,White,Judge12,TRUE
19BU005015,Defendant819,3/13/2019,Burglary,3,1,0,1,3500,Bail,1,0,0,Male,White,Judge12,TRUE
19BU004738,Defendant739,3/13/2019,Attempts (Felony),3,1,0,0,0,Remanded,1,0,0,Male,Black,Judge12,TRUE
19BU005005,Defendant760,3/13/2019,Driving Under The Influence; Criminal Refusal,2,0,0,0,0,No Bail,1,0,4,Male,White,Judge12,TRUE
19BU005015,Defendant819,3/14/2019,Burglary,2,1,0,1,100,Bail,4,0,1,Male,White,Judge14,TRUE
19BU003120,Defendant588,3/14/2019,Petit Larceny From Other Location,1,0,1,0,0,No Bail,1,1,1,Male,White,Judge10,TRUE
19BU004005,Defendant691,3/14/2019,Driving Under The Influence; Second And Subsequent Offense,1,0,0,0,0,No Bail,4,0,0,Male,White,Judge10,TRUE
19BU003669,Defendant301,3/14/2019,Simple Assault,3,0,1,0,0,No Bail,5,0,1,Female,White,Judge10,TRUE
19BU003721,Defendant185,3/14/2019,Retail Theft (Misd),1,0,1,0,0,No Bail,1,1,3,Male,White,Judge10,TRUE
19BU003345,Defendant591,3/15/2019,Simple Assault,1,0,1,0,0,No Bail,1,0,0,Female,White,Judge10,TRUE
19BU005162,Defendant615,3/15/2019,Eluding A Police Officer While Operating In Grossly Negligent Manner - Felony,4,1,0,1,500,Bail,NA,0,4,Male,White,Judge10,TRUE
19BU005166,Defendant817,3/15/2019,Assault On A Law Enforcement Officer (Misdemeanor),1,0,0,1,200,Bail,NA,0,4,Male,White,Judge7,TRUE
19BU005166,Defendant817,3/18/2019,Assault On A Law Enforcement Officer (Misdemeanor),1,0,0,0,0,No Bail,3,0,5,Male,White,Judge7,TRUE
18BU022962,Defendant68,3/19/2019,False Information To A Police Officer,1,0,1,0,0,No Bail,1,1,1,Male,Black,Judge10,TRUE
